street_num,lower_bound,upper_bound
491,1,37
579,1,38
477,1,74
609,1,18
508,1,30
502,1,97
510,1,48
687,1,9
492,1,13
581,1,12
583,1,10
582,1,18
500,1,51
494,1,68
493,1,19
563,1,26
501,1,51
580,1,17
688,1,10
689,1,10
487,1,31
488,1,22
194,81,155
1117,1,16
472,1,10
566,1,87
573,1,10
489,1,17
486,1,23
490,1,16
1161,1,46
1190,1,26
564,1,13
503,1,16
543,1,27
578,1,21
572,1,15
567,1,76
545,1,25
541,1,42
544,1,50
679,1,37
671,1,32
672,1,19
546,1,28
674,1,7
675,1,17
665,1,11
547,1,21
548,1,13
676,1,28
677,1,18
678,1,16
680,1,10
481,1,55
462,1,35
330,15,27
1162,1,10
667,1,4
334,31,44
661,9,39
623,1,5
1002,27,39
458,1,8
663,1,19
788,1,41
472,1,137
496,32,192
